"id","Name","sex","Age","height","weight","team","noc","games","Year","season","city","sport","Event","medal"
1106,Karim El-Husseini Aga Khan,M,"27",NA,NA,Iran,IRI,"1964 Winter",1964,Winter,Innsbruck,Alpine Skiing,Alpine Skiing Men's Giant Slalom,NA
1106,Karim El-Husseini Aga Khan,M,"27",NA,NA,Iran,IRI,"1964 Winter",1964,Winter,Innsbruck,Alpine Skiing,Alpine Skiing Men's Slalom,NA
1107,"Timothy Ernest Victor Kwizera ""Tim"" Agaba",M,"27","193","104",South Africa,RSA,"2016 Summer",2016,Summer,Rio de Janeiro,Rugby Sevens,Rugby Sevens Men's Rugby Sevens,Bronze
1108,Drago Agache,M,"28","175","75",Romania,ROU,"2012 Summer",2012,Summer,London,Swimming,Swimming Men's 100 metres Breaststroke,NA
1109,Lavinia Agache (-Carney),F,"16","148","40",Romania,ROU,"1984 Summer",1984,Summer,Los Angeles,Gymnastics,Gymnastics Women's Individual All-Around,NA
1109,Lavinia Agache (-Carney),F,"16","148","40",Romania,ROU,"1984 Summer",1984,Summer,Los Angeles,Gymnastics,Gymnastics Women's Team All-Around,Gold
1109,Lavinia Agache (-Carney),F,"16","148","40",Romania,ROU,"1984 Summer",1984,Summer,Los Angeles,Gymnastics,Gymnastics Women's Floor Exercise,NA
1109,Lavinia Agache (-Carney),F,"16","148","40",Romania,ROU,"1984 Summer",1984,Summer,Los Angeles,Gymnastics,Gymnastics Women's Horse Vault,Bronze
1109,Lavinia Agache (-Carney),F,"16","148","40",Romania,ROU,"1984 Summer",1984,Summer,Los Angeles,Gymnastics,Gymnastics Women's Uneven Bars,NA
1109,Lavinia Agache (-Carney),F,"16","148","40",Romania,ROU,"1984 Summer",1984,Summer,Los Angeles,Gymnastics,Gymnastics Women's Balance Beam,NA
1110,Aleksandr Agafonov,M,"21","190","86",Uzbekistan,UZB,"1996 Summer",1996,Summer,Atlanta,Swimming,Swimming Men's 4 x 200 metres Freestyle Relay,NA
1110,Aleksandr Agafonov,M,"25","190","86",Uzbekistan,UZB,"2000 Summer",2000,Summer,Sydney,Swimming,Swimming Men's 100 metres Freestyle,NA
1110,Aleksandr Agafonov,M,"29","190","86",Uzbekistan,UZB,"2004 Summer",2004,Summer,Athina,Swimming,Swimming Men's 100 metres Freestyle,NA
1111,Alisa Agafonova,F,"23","171",NA,Turkey,TUR,"2014 Winter",2014,Winter,Sochi,Figure Skating,Figure Skating Mixed Ice Dancing,NA
1112,Alphonsine Agahozo,F,"16","160","50",Rwanda,RWA,"2012 Summer",2012,Summer,London,Swimming,Swimming Women's 50 metres Freestyle,NA
1113,Victor Okechukwu Agali,M,"21","193","82",Nigeria,NGR,"2000 Summer",2000,Summer,Sydney,Football,Football Men's Football,NA
1114,Luca Agamennoni,M,"24","187","93",Italy,ITA,"2004 Summer",2004,Summer,Athina,Rowing,Rowing Men's Coxless Fours,Bronze
1114,Luca Agamennoni,M,"27","187","93",Italy,ITA,"2008 Summer",2008,Summer,Beijing,Rowing,Rowing Men's Quadruple Sculls,Silver
1114,Luca Agamennoni,M,"31","187","93",Italy,ITA,"2012 Summer",2012,Summer,London,Rowing,Rowing Men's Coxless Fours,NA
1114,Luca Agamennoni,M,"35","187","93",Italy,ITA,"2016 Summer",2016,Summer,Rio de Janeiro,Rowing,Rowing Men's Coxed Eights,NA
1115,Marina Aganina,F,"20","158","51",Uzbekistan,UZB,"2006 Winter",2006,Winter,Torino,Figure Skating,Figure Skating Mixed Pairs,NA
1116,Eldijana Dana Aganovi (-Bentsen),F,"24","173","59",Croatia,CRO,"1996 Summer",1996,Summer,Atlanta,Table Tennis,Table Tennis Women's Doubles,NA
1116,Eldijana Dana Aganovi (-Bentsen),F,"28","173","59",Croatia,CRO,"2000 Summer",2000,Summer,Sydney,Table Tennis,Table Tennis Women's Singles,NA
1116,Eldijana Dana Aganovi (-Bentsen),F,"28","173","59",Croatia,CRO,"2000 Summer",2000,Summer,Sydney,Table Tennis,Table Tennis Women's Doubles,NA
1117,Gennady Mikhaylovich Agapov,M,"30","181","76",Soviet Union,URS,"1964 Summer",1964,Summer,Tokyo,Athletics,Athletics Men's 50 kilometres Walk,NA
1117,Gennady Mikhaylovich Agapov,M,"34","181","76",Soviet Union,URS,"1968 Summer",1968,Summer,Mexico City,Athletics,Athletics Men's 50 kilometres Walk,NA
1118,Francilla Agar (-Schofield),F,"25","170","55",Dominica,DMA,"2000 Summer",2000,Summer,Sydney,Swimming,Swimming Women's 50 metres Freestyle,NA
1119,Mark Sidney Andrew Agar,M,"27",NA,NA,Great Britain-2,GBR,"1976 Winter",1976,Winter,Innsbruck,Bobsleigh,Bobsleigh Men's Two,NA
1119,Mark Sidney Andrew Agar,M,"27",NA,NA,Great Britain-2,GBR,"1976 Winter",1976,Winter,Innsbruck,Bobsleigh,Bobsleigh Men's Four,NA
1120,"Steven Kirwan ""Steve"" Agar",M,"28","182","72",Dominica,DMA,"1996 Summer",1996,Summer,Atlanta,Athletics,"Athletics Men's 1,500 metres",NA
1121,Arturo Ernesto Agard,M,"31","195","96",Panama,PAN,"1968 Summer",1968,Summer,Mexico City,Basketball,Basketball Men's Basketball,NA
1122,Andre Kirk Agassi,M,"26","180","80",United States,USA,"1996 Summer",1996,Summer,Atlanta,Tennis,Tennis Men's Singles,Gold
1122,Andre Kirk Agassi,M,"26","180","80",United States,USA,"1996 Summer",1996,Summer,Atlanta,Tennis,Tennis Men's Doubles,NA
1123,Arthure Agathine,M,"19","180","72",Seychelles,SEY,"1980 Summer",1980,Summer,Moskva,Athletics,Athletics Men's Triple Jump,NA
1124,Krikor Agathon,M,"23",NA,NA,Egypt,EGY,"1924 Summer",1924,Summer,Paris,Shooting,"Shooting Men's Rapid-Fire Pistol, 25 metres",NA
1124,Krikor Agathon,M,"23",NA,NA,Egypt,EGY,"1924 Summer",1924,Summer,Paris,Fencing,"Fencing Men's epee, Individual",NA
1124,Krikor Agathon,M,"35",NA,NA,Egypt,EGY,"1936 Summer",1936,Summer,Berlin,Shooting,"Shooting Men's Rapid-Fire Pistol, 25 metres",NA
1125,Rstm Aayev,M,"22","186","96",Azerbaijan,AZE,"2004 Summer",2004,Summer,Athina,Wrestling,"Wrestling Men's Heavyweight, Freestyle",NA
1126,Vilayt Aayev,M,"24","168","62",Azerbaijan,AZE,"1996 Summer",1996,Summer,Atlanta,Wrestling,"Wrestling Men's Bantamweight, Greco-Roman",NA
1127,Giancarlo Agazzi,M,"23","178","73",Italy,ITA,"1956 Winter",1956,Winter,Cortina d'Ampezzo,Ice Hockey,Ice Hockey Men's Ice Hockey,NA
1127,Giancarlo Agazzi,M,"31","178","73",Italy,ITA,"1964 Winter",1964,Winter,Innsbruck,Ice Hockey,Ice Hockey Men's Ice Hockey,NA
1128,Gladstone Agbamu,M,"27","179","74",Nigeria,NGR,"1972 Summer",1972,Summer,Munich,Athletics,Athletics Men's 400 metres Hurdles,NA
1129,Leopold Agbazo,M,"27","159","54",Benin,BEN,"1972 Summer",1972,Summer,Munich,Boxing,Boxing Men's Bantamweight,NA
1130,Ajayi Agbebaku,M,"29","185","80",Nigeria,NGR,"1984 Summer",1984,Summer,Los Angeles,Athletics,Athletics Men's Triple Jump,NA
1131,Clarisse Agbegnenou,F,"23","164","66",France,FRA,"2016 Summer",2016,Summer,Rio de Janeiro,Judo,Judo Women's Half-Middleweight,Silver
1132,Agberto Correa de Matos,M,"24","193","97",Brazil,BRA,"1996 Summer",1996,Summer,Atlanta,Handball,Handball Men's Handball,NA
1132,Agberto Correa de Matos,M,"32","193","97",Brazil,BRA,"2004 Summer",2004,Summer,Athina,Handball,Handball Men's Handball,NA
1133,Sonya Agbssi,F,"19","167","66",Benin,BEN,"1992 Summer",1992,Summer,Barcelona,Athletics,Athletics Women's Long Jump,NA
1134,Komi-Mawussi Agbetoglo,M,"18",NA,NA,Togo,TOG,"2012 Summer",2012,Summer,London,Table Tennis,Table Tennis Men's Singles,NA
1135,Francis Agbo,M,"22","184","66",France,FRA,"1980 Summer",1980,Summer,Moskva,Athletics,Athletics Men's High Jump,NA
1136,"Jos V. Agdamag, Jr.",M,"39","163","61",Philippines,PHI,"1960 Summer",1960,Summer,Roma,Shooting,"Shooting Men's Free Pistol, 50 metres",NA
1136,"Jos V. Agdamag, Jr.",M,"47","163","61",Philippines,PHI,"1968 Summer",1968,Summer,Mexico City,Shooting,"Shooting Mixed Free Pistol, 50 metres",NA
1137,"William Ashby ""Bill"" Agee",M,"22",NA,NA,United States,USA,"1928 Summer",1928,Summer,Amsterdam,Athletics,Athletics Men's Marathon,NA
1138,Iwao Ageishi,M,"24","166","72",Japan,JPN,"1932 Winter",1932,Winter,Lake Placid,Cross Country Skiing,Cross Country Skiing Men's 50 kilometres,NA
1139,Craig John Agena,M,"23","170","66",United States,USA,"1984 Summer",1984,Summer,Los Angeles,Judo,Judo Men's Half-Lightweight,NA
1140,Ronald Jean-Martin Agnor,M,"23","180","79",Haiti,HAI,"1988 Summer",1988,Summer,Seoul,Tennis,Tennis Men's Singles,NA
1140,Ronald Jean-Martin Agnor,M,"31","180","79",Haiti,HAI,"1996 Summer",1996,Summer,Atlanta,Tennis,Tennis Men's Singles,NA
1141,Franco Agentho,M,"22",NA,"60",Uganda,UGA,"1996 Summer",1996,Summer,Atlanta,Boxing,Boxing Men's Lightweight,NA
1142,Wendy Caroline Ager-Grant,F,"23","163","55",Great Britain,GBR,"1976 Summer",1976,Summer,Montreal,Fencing,"Fencing Women's Foil, Individual",NA
1142,Wendy Caroline Ager-Grant,F,"23","163","55",Great Britain,GBR,"1976 Summer",1976,Summer,Montreal,Fencing,"Fencing Women's Foil, Team",NA
